Date,Name,Description,New to Fora,Continent,Country ,Region,Partner,Style,Season,< $500 option(s),Magic Content,Instagram In-Feed,Instagram Story,Non-Editable Assets,Video Template,PDF Template,Mailchimp,Notes,Article Title (Fora HQ reference)
23-Dec-25,Insider Picks for Hotels under $500 in Cabo,Hotels in Cabo under $500,No,North America,Mexico,Cabo,Multiple,General ,General,Yes,Magic article,,,,,,,,
17-Dec-25,What’s New in Cruise Travel for 2026,A round-up of new cruise ships and itineraries for 2026,No,Multiple,Multiple,Multiple,Multiple,Cruise,General,No,Magic article,,,,,,,,
12-Dec-25,5 Travel Books for Winter (and Where to Read Them),A round-up of our recommended books for this winter,No,Multiple,Multiple,Multiple,Multiple,General ,Winter,No,Magic article,,,,,,,,
5-Dec-25,Destination Debrief: Destination Spa Travel,Comprehensive travel guide to destination spa travel,No,Multiple,Multiple,Multiple,Multiple,Destination Debrief,General,No,Magic article,Instagram in-feed ,Instagram story,,,,Mailchimp template,,Insider's Guide to destination spa travel
26-Nov-25,Insider Picks for Hotels under $500 in Kyoto,Hotels in Kyoto under $500,No,Asia,Japan,N/A,Multiple,General ,General,Yes,Magic article,,,,,,,,
21-Nov-25,Destination Debrief: Argentina,Comprehensive travel guide to Argentina,No,South America,Argentina,Argentina,Multiple,Destination Debrief,General,No,Magic article,Instagram in-feed ,Instagram story,,,Sample Itinerary ,Mailchimp template,,Insider's Guide to Argentina
19-Nov-25,Fora Picks: The Best Villas with Resort Amenities for 2026,Round-up of villas with resort amenities,No,Multiple,Multiple,Multiple,Multiple,General ,General,No,Magic article,,,,,,,,The Best Villa Stays with Full Resort Perks
14-Nov-25,Destination Debrief: St. Barths,Comprehensive travel guide to St. Barths,No,North America,St. Barths,Caribbean,Multiple,Destination Debrief,General,No,Magic article,Instagram in-feed ,Instagram story,,,Sample Itinerary ,Mailchimp template,,Insider's Guide to St. Barths
12-Nov-25,November Hotel Spotlight: From Mexico to the Hudson Valley,Round-up of our favorite openings to promote this month.,No,Multiple,Multiple,Multiple,Multiple,General ,General,No,Magic article,,,,,,,,
7-Nov-25,Destination Debrief: Destination Weddings,Comprehensive travel guide to destination weddings,No,Multiple,Multiple,Multiple,Multiple,Destination Debrief,General,No,Magic article,Instagram in-feed ,Instagram story,,,,Mailchimp template,,Insider's Guide to Destination Weddings
3-Nov-25,The Shelborne by Proper Exclusive Offer ,Shareable asset for you to promote the special preferred rate for your clients during Miami Art Week (December 3-7).,No,North America,United States,Florida,The Shelborne by Proper,General ,Winter,No,,Instagram In-Feed,Instagram Story,,,,,,
3-Nov-25,The Fora Beach Club Reservations at Art Basel Miami,Shareable asset about The Fora Beach Club at The Shelborne by Proper during Miami Art Week from December 3-7. In order to go to The Fora Beach Club guests will need to make a reservation. You can use this Opentable link to include in the below asset when you are posting via Instagram stories or in-feed. ,No,North America,United States,Florida,The Shelborne by Proper,General ,Winter,N/A,,Instagram In-Feed,Instagram Story,,,,,,
29-Oct-25,Insider Picks for Hotels under $500 in Los Angeles,Hotels in LA under $500/night,No,North America,United States,LA/Los Angeles (California) ,Multiple,General ,General,Yes,Magic article,,,,,,,,
24-Oct-25,Destination Debrief: New Zealand,Comprehensive travel guide to New Zealand,No,Oceania,New Zealand,Multiple,Multiple,Destination Debrief,General,No,Magic article,Instagram in-feed ,Instagram story,,,Sample Itinerary ,Mailchimp template,,Insider's Guide to New Zealand
20-Oct-25,"Day of the Dead in Mexico: What to See, Eat & Experience",Comprehensive guide to celebrating Day of the Dead in different regions in Mexico,No,North America,Mexico,Multiple,Multiple,General ,Fall,No,Magic article,,,,,,,,
17-Oct-25,Canada’s Greatest Pairings: Urban Meets Untamed,Four Canada itineraries that mix city with wilderness,No,North America,Canada,Multiple,Multiple,General ,General,No,Magic article,Instagram in-feed ,Instagram story,,,,,,
10-Oct-25,Destination Debrief: Eclipse Travel,Comprehensive travel guide to Eclipse Travel,No,Multiple,Multiple,Multiple,Multiple,Destination Debrief,General,No,Magic article,Instagram in-feed ,Instagram story,,,Sample Itinerary ,Mailchimp template,,Insider's Guide to Eclipse Travel
10-Oct-25,"World Cup 2026: The Essential Guide to Tickets, Travel & Hotels",Comprehensive travel guide to the World Cup 2026,No,North America,Multiple,Multiple,Multiple,General ,Summer,No,Magic article,,,,,,,,
